"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1363","Current location label","","Thu Jul 17 05:53:19 UTC 2025","passed","Thu Jul 17 05:53:21 UTC 2025","","Accuweather test","",""
"","6913","Search city","","Thu Jul 17 05:53:05 UTC 2025","passed","Thu Jul 17 05:53:12 UTC 2025","","Accuweather test","",""
"","3079","Temperature measurement units","","Thu Jul 17 05:53:21 UTC 2025","passed","Thu Jul 17 05:53:24 UTC 2025","","Accuweather test","",""
"","7686","Recent locations","","Thu Jul 17 05:53:12 UTC 2025","passed","Thu Jul 17 05:53:19 UTC 2025","","Accuweather test","",""
